Actor,Character
Tom Cruise,Capt. Pete 'Maverick' Mitchell
Jennifer Connelly,Penny Benjamin
Miles Teller,Lt. Bradley 'Rooster' Bradshaw
Val Kilmer,Adm. Tom 'Iceman' Kazansky
Daniel Craig,James Bond
Javier Bardem,Silva
Naomie Harris,Eve
Judi Dench,M
Tom Holland,Peter Parker/Spider-Man
Michael Keaton,Adrian Toomes/Vulture
Robert Downey Jr.,Tony Stark/Iron Man
Marisa Tomei,May Parker
Brad Pitt,Gerry Lane
Mireille Enos,Karin Lane
Daniella Kertesz,Segen
James Badge Dale,Captain Speke
Chris Hemsworth,Thor
Natalie Portman,Jane Foster
Tom Hiddleston,Loki
Stellan Skarsgård,Erik Selvig
Daniel Kaluuya,Chris Washington
Allison Williams,Rose Armitage
Bradley Whitford,Dean Armitage
Catherine Keener,Missy Armitage
James McAvoy,Charles Xavier (30 Years
Michael Fassbender,Erik Lensherr
Jennifer Lawrence,Raven/Mystique
Kevin Bacon,Sebastian Shaw
Paul Rudd,Scott Lang/Ant-Man
Michael Douglas,Dr. Hank Pym
Corey Stoll,Darren Cross/Yellowjacket
Evangeline Lilly,Hope van Dyne
Colin Firth,Harry Hart/Galahad
Taron Egerton,Gary 'Eggsy' Unwin
Samuel L. Jackson,Valentine
Michael Caine,Arthur
Jennifer Lawrence,Katniss Everdeen
Josh Hutcherson,Peeta Mellark
Liam Hemsworth,Gale Hawthorne
Philip Seymour Hoffman,Plutarch Heavensbee
Hilary Swank,Maggie Fitzgerald
Clint Eastwood,Frankie Dunn
Morgan Freeman,Eddie Scrap-Iron Dupris
Jay Baruchel,Danger Barch
Will Smith,Deadshot
Jared Leto,The Joker
Margot Robbie,Harley Quinn
Viola Davis,Amanda Waller
Tobey Maguire,Spider-Man/Peter Parker
Kirsten Dunst,Mary Jane Watson
Alfred Molina,Doc Ock/Dr. Otto Octavius
James Franco,Harry Osborn
Sharlto Copley,Wikus van de Merwe
David James,Koobus Venter
Jason Cope,Grey Bradnam - UKNR Chief Correspondent/Christopher Johnson
Vanessa Haywood,Tania van de Merwe
Jesse Eisenberg,J. Daniel Atlas
Common,Evans
Mark Ruffalo,Dylan Rhodes
Woody Harrelson,Merritt McKinney
Ryan Gosling,Driver
Carey Mulligan,Irene
Bryan Cranston,Shannon
Albert Brooks,Bernie Rose
Ian McKellen,Gandalf
Martin Freeman,Bilbo
Richard Armitage,Thorin
Ken Stott,Balin
Andrew Garfield,Spider-Man/Peter Parker
Emma Stone,Gwen Stacy
Rhys Ifans,The Lizard/Dr. Curt Connors
Irrfan Khan,Rajit Ratha
Ivana Baquero,Ofelia
Ariadna Gil,Carmen
Sergi López,Vidal
Maribel Verdú,Mercedes
Colin Firth,King George VI
Geoffrey Rush,Lionel Logue
Helena Bonham Carter,Queen Elizabeth
Derek Jacobi,Archbishop Cosmo Lang
Daniel Radcliffe,Harry Potter
Rupert Grint,Ron Weasley
Emma Watson,Hermione Granger
Richard Harris,Albus Dumbledore
Daniel Radcliffe,Harry Potter
Emma Watson,Hermione Granger
Rupert Grint,Ron Weasley
Richard Griffiths,Uncle Vernon
Gal Gadot,Diana
Chris Pine,Steve Trevor
Robin Wright,Antiope
Lucy Davis,Etta
Brad Pitt,Benjamin Button
Cate Blanchett,Daisy
Tilda Swinton,Elizabeth Abbott
Julia Ormond,Caroline
Johnny Depp,Jack Sparrow
Orlando Bloom,Will Turner
Keira Knightley,Elizabeth Swann
Geoffrey Rush,Captain Hector Barbossa
Daniel Craig,James Bond
Eva Green,Vesper Lynd
Judi Dench,M
Jeffrey Wright,Felix Leiter
Dean-Charles Chapman,Lance Corporal Blake
George MacKay,Lance Corporal Schofield
Daniel Mays,Sergeant Sanders
Colin Firth,General Erinmore
Shameik Moore,Miles Morales
Jake Johnson,Peter B. Parker
Hailee Steinfeld,Gwen Stacy
Mahershala Ali,Uncle Aaron
Felicity Jones,Jyn Erso
Diego Luna,Cassian Andor
Alan Tudyk,K-2SO
Donnie Yen,Chirrut Îmwe
Daniel Radcliffe,Harry Potter
Emma Watson,Hermione Granger
Rupert Grint,Ron Weasley
Eric Sykes,Frank Bryce
Ryan Gosling,Sebastian
Emma Stone,Mia
Rosemarie DeWitt,Laura
J.K. Simmons,Bill
Ryan Reynolds,Wade Wilson/Deadpool/Voice of Juggernaut
Josh Brolin,Cable
Morena Baccarin,Vanessa
Julian Dennison,Firefist
Harrison Ford,Rick Deckard
Ryan Gosling,'K'
Ana de Armas,Joi
Dave Bautista,Sapper Morton
Chris Pratt,Owen Grady
Bryce Dallas Howard,Claire Dearing
Ty Simpkins,Gray
Judy Greer,Karen
Joaquin Phoenix,Theodore
Amy Adams,Amy
Scarlett Johansson,Samantha
Rooney Mara,Catherine
Shia LaBeouf,Sam Witwicky
Megan Fox,Mikaela Banes
Josh Duhamel,Captain Lennox
Tyrese Gibson,USAF Tech Sergeant Epps
Daisy Ridley,Rey
John Boyega,Finn
Mark Hamill,Luke Skywalker/Dobbu Scay
Carrie Fisher,Leia Organa
Robert Downey Jr.,Sherlock Holmes
Jude Law,Dr. John Watson
Rachel McAdams,Irene Adler
Mark Strong,Lord Henry Blackwood
Kristen Bell,Anna
Idina Menzel,Elsa
Jonathan Groff,Kristoff
Josh Gad,Olaf
Samuel L. Jackson,Major Marquis Warren
Kurt Russell,John Ruth
Jennifer Jason Leigh,Daisy Domergue
Walton Goggins,Sheriff Chris Mannix
Suraj Sharma,Pi Patel
Irrfan Khan,Adult Pi Patel
Adil Hussain,Santosh Patel
Tabu,Gita Patel
Michael Keaton,Riggan
Zach Galifianakis,Jake
Edward Norton,Mike
Andrea Riseborough,Laura
Mark Wahlberg,John Bennett
Mila Kunis,Lori Collins
Seth MacFarlane,Ted
Joel McHale,Rex
Emile Hirsch,Chris McCandless
Vince Vaughn,Wayne Westerberg
Catherine Keener,Jan Burres
Marcia Gay Harden,Billie McCandless
Noomi Rapace,Elizabeth Shaw
Logan Marshall-Green,Charlie Holloway
Michael Fassbender,David
Charlize Theron,Meredith Vickers
Matt Damon,Jason Bourne
Edgar Ramírez,Paz
Joan Allen,Pam Landy
Julia Stiles,Nicky Parsons
Choi Min-sik,Dae-su Oh
Yoo Ji-tae,Woo-jin Lee
Kang Hye-jeong,Mi-do
Kim Byeong-Ok,Mr. Han
Daniel Day-Lewis,Daniel Plainview
Paul Dano,Paul Sunday/Eli Sunday
Ciarán Hinds,Fletcher
Martin Stringer,Silver Assay Worker
Tobey Maguire,Spider-Man/Peter Parker
Kirsten Dunst,Mary Jane Watson
Topher Grace,Venom/Eddie Brock
Thomas Haden Church,Sandman/Flint Marko
Daniel Radcliffe,Harry Potter
Emma Watson,Hermione Granger
Rupert Grint,Ron Weasley
Brendan Gleeson,Alastor 'Mad-Eye' Moody
Michael Cera,Evan
Jonah Hill,Seth
Christopher Mintz-Plasse,Fogell
Bill Hader,Officer Slater
Liam Neeson,Bryan Mills
Maggie Grace,Kim
Famke Janssen,Lenore
Leland Orser,Sam
Ben Affleck,Tony Mendez
Bryan Cranston,Jack O'Donnell
John Goodman,John Chambers
Alan Arkin,Lester Siegel
Keanu Reeves,Neo
Laurence Fishburne,Morpheus
Carrie-Anne Moss,Trinity
Hugo Weaving,Agent Smith
Gena Rowlands,Allie Calhoun
James Garner,Duke
Rachel McAdams,Allie
Ryan Gosling,Noah
Jesse Eisenberg,Columbus
Emma Stone,Wichita
Woody Harrelson,Tallahassee
Abigail Breslin,Little Rock
George Clooney,Danny Ocean
Brad Pitt,Rusty Ryan
Julia Roberts,Tess Ocean
Matt Damon,Linus
Ansel Elgort,Baby
Jon Bernthal,Griff
Jon Hamm,Buddy
Eiza González,Darling
Bill Skarsgård,Pennywise
Jaeden Martell,Bill Denbrough
Finn Wolfhard,Richie Tozier
Sophia Lillis,Beverly Marsh
Anthony Gonzalez,Miguel
Gael García Bernal,Héctor
Benjamin Bratt,Ernesto de la Cruz
Alanna Ubach,Mamá Imelda
Brie Larson,Carol Danvers/Vers/Captain Marvel
Samuel L. Jackson,Nick Fury
Ben Mendelsohn,Talos/Keller
Jude Law,Yon-Rogg
Chris Pine,Kirk
Zachary Quinto,Spock
Simon Pegg,Scotty
Leonard Nimoy,Spock Prime
Leonardo DiCaprio,Dr. Randall Mindy
Jennifer Lawrence,Kate Dibiasky
Meryl Streep,President Orlean
Cate Blanchett,Brie Evantee
Jake Gyllenhaal,Louis Bloom
Rene Russo,Nina Romina
Bill Paxton,Joe Loder
Riz Ahmed,Rick
Bradley Cooper,Eddie Morra
Anna Friel,Melissa
Abbie Cornish,Lindy
Robert De Niro,Carl Van Loon
Jake Gyllenhaal,Robert Graysmith
Robert Downey Jr.,Paul Avery
Mark Ruffalo,Inspector David Toschi
Anthony Edwards,Inspector William Armstrong
Andrew Garfield,Desmond Doss
Sam Worthington,Captain Glover
Luke Bracey,Smitty Ryker
Teresa Palmer,Dorothy Schutte
Daniel Radcliffe,Harry Potter
Emma Watson,Hermione Granger
Rupert Grint,Ron Weasley
Bill Nighy,Minister Rufus Scrimgeour
Emily Blunt,Evelyn Abbott
John Krasinski,Lee Abbott
Millicent Simmonds,Regan Abbott
Noah Jupe,Marcus Abbott
John David Washington,Protagonist
Robert Pattinson,Neil
Elizabeth Debicki,Kat
Juhan Ulfsak,Passenger
Daniel Radcliffe,Harry Potter
Emma Watson,Hermione Granger
Rupert Grint,Ron Weasley
Michael Gambon,Professor Albus Dumbledore
Jonah Hill,Schmidt
Channing Tatum,Jenko
Ice Cube,Captain Dickson
Brie Larson,Molly Tracey
Joseph Gordon-Levitt,Joe
Bruce Willis,Old Joe
Emily Blunt,Sara
Paul Dano,Seth
Leonardo DiCaprio,Jay Gatsby
Carey Mulligan,Daisy Buchanan
Joel Edgerton,Tom Buchanan
Tobey Maguire,Nick Carraway
Rami Malek,Freddie Mercury
Lucy Boynton,Mary Austin
Gwilym Lee,Brian May
Ben Hardy,Roger Taylor
Simon Pegg,Shaun
Nick Frost,Ed
Kate Ashfield,Liz
Lucy Davis,Dianne
Viggo Mortensen,Tony Lip
Mahershala Ali,Dr. Donald Shirley
Linda Cardellini,Dolores
Sebastian Maniscalco,Johnny Venere
Alicia Vikander,Ava
Domhnall Gleeson,Caleb
Oscar Isaac,Nathan
Sonoya Mizuno,Kyoko
Aaron Taylor-Johnson,Dave Lizewski/Kick-Ass
Nicolas Cage,Damon Macready/Big Daddy
Chloë Grace Moretz,Mindy Macready/Hit-Girl
Garrett M. Brown,Mr. Lizewski
Steve Carell,Gru
Jason Segel,Vector
Russell Brand,Dr. Nefario
Julie Andrews,Gru's Mom
Leonardo DiCaprio,Danny Archer
Djimon Hounsou,Solomon Vandy
Jennifer Connelly,Maddy Bowen
Kagiso Kuypers,Dia Vandy
Tom Cruise,Chief John Anderton
Colin Farrell,Danny Witwer
Samantha Morton,Agatha
Max von Sydow,Director Lamar Burgess
Jackie Earle Haley,Rorschach
Patrick Wilson,Dan Dreiberg/Nite Owl
Carla Gugino,Sally Jupiter/Silk Spectre
Malin Akerman,Laurie Jupiter/Silk Spectre II
Patrick Stewart,Professor Charles Xavier
Hugh Jackman,Logan/Wolverine
Halle Berry,Ororo Munroe/Storm
Ian McKellen,Eric Lehnsherr/Magneto
Will Smith,Del Spooner
Bridget Moynahan,Susan Calvin
Bruce Greenwood,Lawrence Robertson
Alan Tudyk,Sonny
Ian McKellen,Gandalf
Martin Freeman,Bilbo
Richard Armitage,Thorin
Cate Blanchett,Galadriel
Franka Potente,Marie
Matt Damon,Bourne
Chris Cooper,Conklin
Clive Owen,The Professor
James Franco,Will Rodman
Andy Serkis,Caesar
Freida Pinto,Caroline Aranha
Karin Konoval,Maurice/Court Clerk
Brad Pitt,Achilles
Eric Bana,Hector
Orlando Bloom,Paris
Julian Glover,Triopas
Steve Carell,Cal
Ryan Gosling,Jacob
Julianne Moore,Emily
Emma Stone,Hannah
Tom Holland,Peter Parker/Spider-Man
Samuel L. Jackson,Nick Fury
Jake Gyllenhaal,Quentin Beck/Mysterio
Marisa Tomei,May Parker
Margot Robbie,Barbie
Ryan Gosling,Ken
Issa Rae,Barbie
Kate McKinnon,Weird Barbie
Will Smith,Chris Gardner
Thandiwe Newton,Linda
Jaden Smith,Christopher
Brian Howe,Jay Twistle
Zooey Deschanel,Summer
Joseph Gordon-Levitt,Tom
Geoffrey Arend,McKenzie
Chloë Grace Moretz,Rachel
James McAvoy,Dennis/Patricia/Hedwig/The Beast/Kevin Wendell Crumb/Barry/Orwell/Jade
Anya Taylor-Joy,Casey Cooke
Haley Lu Richardson,Claire Benoit
Jessica Sula,Marcia
Johnny Depp,Jack Sparrow
Penélope Cruz,Angelica
Ian McShane,Blackbeard
Geoffrey Rush,Barbossa
Mithun Chakraborty,Brahma Dutt
Anupam Kher,Pushkar Nath Pandit
Darshan Kumaar,Krishna Pandit
Pallavi Joshi,Radhika Menon
Patrick Wilson,Ed Warren
Vera Farmiga,Lorraine Warren
Ron Livingston,Roger Perron
Lili Taylor,Carolyn Perron
Frances McDormand,Mildred
Woody Harrelson,Willoughby
Sam Rockwell,Dixon
Caleb Landry Jones,Red Welby
Ginnifer Goodwin,Judy Hopps
Jason Bateman,Nick Wilde
Idris Elba,Chief Bogo
Jenny Slate,Bellwether
Brad Pitt,Don 'Wardaddy' Collier
Shia LaBeouf,Boyd 'Bible' Swan
Logan Lerman,Norman Ellison
Michael Peña,Trini 'Gordo' Garcia
Tom Hardy,Eddie Brock/Venom
Michelle Williams,Anne Weying
Riz Ahmed,Carlton Drake/Riot
Scott Haze,Security Chief Roland Treece
Tom Cruise,Jack
Morgan Freeman,Beech
Andrea Riseborough,Victoria
Olga Kurylenko,Julia
Michelle Yeoh,Evelyn Wang
Stephanie Hsu,Joy Wang/Jobu Tupaki
Jamie Lee Curtis,Deirdre Beaubeirdre
Ke Huy Quan,Waymond Wang
Logan Lerman,Charlie
Emma Watson,Sam
Ezra Miller,Patrick
Paul Rudd,Mr. Anderson
Jake Gyllenhaal,Colter Stevens
Michelle Monaghan,Christina Warren
Vera Farmiga,Colleen Goodwin
Jeffrey Wright,Dr. Rutledge
Elliot Page,Juno MacGuff
Michael Cera,Paulie Bleeker
Jennifer Garner,Vanessa Loring
Jason Bateman,Mark Loring
Brad Pitt,John Smith
Angelina Jolie,Jane Smith
Adam Brody,Benjamin Danz
Vince Vaughn,Eddie
Keanu Reeves,Neo
