Actor,Character
Aditya Seal,Manav Randhawa
Steve Zahn,Peter
Allen Covert,Fred
Justin Long,Junior
Jonah Hill,Cooker
Sunny Deol,Tara Singh
Ameesha Patel,Sakeena
Utkarsh Sharma,Jeetay (Charanjeet Singh
Simratt Kaur Randhawa,Muskaan
Alexandra Essoe,Sarah
Amanda Fuller,Tracy
Noah Segan,Danny
Fabianne Therese,Erin
Maiara Walsh,Kantmiss
Brant Daugherty,Dale
Cody Christian,Peter
Lauren Bowles,Effoff
Tabu,SP Diana Joseph
Ajay Devgn,Bholaa
Abhishek Bachchan,Chomu Singh
Amala Paul,Dr Swara
India Eisley,Maria/Airam
Jason Isaacs,Dan
Mira Sorvino,Amy
Penelope Mitchell,Lily
Kostja Ullmann,Max
Corinna Kirchhoff,Elena (alt
Marlene Tanczik,Elena (jung
Iris Berben,Olivia Theissen
Colin Farrell,Syracuse
Alicja Bachleda,Ondine
Dervla Kirwan,Maura
Alison Barry,Annie
Tim Hill,Documentary Narrator
Clancy Brown,Mr. Krabs
Bill Fagerbakke,Patrick
Rodger Bumpass,Squidward
François Civil,Charles d'Artagnan
Vincent Cassel,Armand de Sillègue d'Athos d'Hauteville
Romain Duris,Aramis
Pio Marmaï,Porthos
Ice Cube,Nick Persons
Nia Long,Suzanne Persons
Aleisha Allen,Lindsey Persons
Nicole Kidman,Margot
Jennifer Jason Leigh,Pauline
Flora Cross,Ingrid
Zane Pais,Claude
Christina Milian,Gabriela
Adam Demos,Jake
Jeffrey Bowyer-Chapman,Dean
Anna Jullienne,Charlotte
Gemma Arterton,Tamara Drewe
Luke Evans,Andy Cobb
Dominic Cooper,Ben Sergeant
Roger Allam,Nicholas Hardiment
Brad Pitt,Roland
Angelina Jolie,Vanessa
Mélanie Laurent,Lea
Melvil Poupaud,François
Akshay Kumar,Havildar Ishar Singh
Parineeti Chopra,Jiwani
Suvinder Vicky,Naik Lal Singh
Vansh Bhardwaj,Lance Naik Chanda Singh
Hugh Grant,Keith Michaels
Whit Baldwin,Doug
Vanessa Wasche,Rona
Enid Graham,Trina
Javier Bardem,Pablo Escobar
Penélope Cruz,Virginia Vallejo
Peter Sarsgaard,Shepard
Julieth Restrepo,Maria Victoria Henao
Hilary Duff,Tanzie Marchetta
Haylie Duff,Ava Marchetta
Anjelica Huston,Fabiella
Maria Conchita Alonso,Inez
Toby Kebbell,Will
Maggie Grace,Casey
Ryan Kwanten,Breeze
Ralph Ineson,Perkins
Alan Van Sprang,Sarge
Kenneth Welsh,O'Flynn
Kathleen Munroe,Janet/Jane
Joshua Peace,D.J.
Akshay Kumar,Varun Batra
Kareena Kapoor,Deepti Batra
Diljit Dosanjh,Honey Batra
Kiara Advani,Monika Batra
Kôki Uchiyama,Gin
Ayane Sakura,Hotaru Takegawa
Izumi Sawada,Mom
Matilda Lutz,Elisa
Francesco Russo,Fabrizio
Peppino Mazzotta,Riccardo
Will Merrick,Mark
Jillian Bell,Brittany
Jennifer Dundas,Shannon
Patch Darragh,Doctor Falloway
Alice Lee,Gretchen
Jackie Chan,Bennie Chan
Johnny Knoxville,Connor Watts
Bingbing Fan,Samantha Bai
Eric Tsang,Yung
Shahid Kapoor,Sumair Azad
Zeishan Quadri,Jagdish Prasad (Jaggi
Solanki Diwakar,ATM Guard
Veto Swarn,Morris
Matthew Mercer,Leon S. Kennedy
Dave Wittenberg,Buddy/Alexander 'Sasha' Kozachenko
Wendee Lee,Svetlana Belikova
Val Tasso,JD
Lambert Wilson,Ernest
Pauline Brunner,Célestine
Anne-Marie Loop,La Grise
Patrice Melennec,Georges
Jeremy Piven,Don Ready
Ving Rhames,Jibby Newsome
David Koechner,Brent Gage
James Brolin,Ben Selleck
Jessica Biel,Larita Whittaker
Ben Barnes,John Whittaker
Kristin Scott Thomas,Veronica Whittaker
Colin Firth,Mr. Whittaker
Ranveer Singh,Ram
Deepika Padukone,Leela
Supriya Pathak,Dhankor Baa
Sharad Kelkar,Kanji Bhai
Steve Oram,Joseph Solomon
Catherine Walker,Sophia
Susan Loughnane,Victoria
Mark Huberman,Neil Hughes
Jennifer Garner,Laura Pickler
Yara Shahidi,Destiny
Ty Burrell,Bob Pickler
Olivia Wilde,Brooke
Ryo Ishibashi,Detective Toshiharu Kuroda
Masatoshi Nagase,Detective Shibusawa
Mai Hôshô,Nurse Atsuko Sawada
Tamao Satô,Nurse Yôko Kawaguchi
Richard Jenkins,Robert
Debra Winger,Theresa
Evan Rachel Wood,Old Dolio
Patricia Belcher,Althea
Enrique Diaz,Gilson
Wagner Moura,Zico
Caio Blat,Deusdete
Luiz Carlos Vasconcelos,Médico
Alex Roe,Liam
Jessica Rothe,Josie
Abby Ryder Fortson,Billy
Travis Tritt,Walt
Dustin Hoffman,Harvey Shine
Emma Thompson,Kate Walker
Kathy Baker,Jean
Eileen Atkins,Maggie
José Luis Ferrer,Don Quixote (commercial
Ismael Fritschi,Sancho Panza (commercial
Juan López-Tagle,Spanish Propman
Adam Driver,Toby
Kathryn Hahn,Rachel Biegler
Paul Giamatti,Richard Grimes
Gabrielle Reid,Clinic Nurse #1
Amy Russ,Admitting Nurse #1
Alia Shawkat,Woman with Dog
John Magaro,Cookie
Dylan Smith,Trapper Jack
Ryan Findley,Tapper Dame
Piper Perabo,Pauline 'Paulie' Oster
Jessica Paré,Victoria 'Tori' Moller
Mischa Barton,Mary 'Mouse' Bedford
Jackie Burroughs,Fay Vaughn
Florian Lukas,Leutnant Horst Schopis
David Kross,Obergefreiter Josef Schwartz
Lachlan Nieboer,Captain Charles P. Davenport
Stig Henrik Hoff,Feldwebel Wolfgang Strunk
Ranveer Singh,Inspector Sangram Bhalerao a.k.a 'Simmba'
Sara Ali Khan,Shagun Sathe
Sonu Sood,Durva Yashwant Ranade
Ashutosh Rana,Head-Constable Nityanand Mohile
Keerthy Suresh,Nila
Joseph Vijay,Sundar Ramasamy
A.R. Murugadoss,Cameo appearance
Varalaxmi Sarathkumar,Komalavalli (Pappa
Ajay Devgn,Omi Shukla/Omkara
Kareena Kapoor,Dolly Mishra
Saif Ali Khan,Langda Tyagi/Ishwar Tyagi
Konkona Sen Sharma,Indu Tyagi
Dennis Quaid,Sam Houston
Billy Bob Thornton,Davy Crockett
Emilio Echevarría,Antonio Lopez de Santa Ana
Jason Patric,James Bowie
Kevin James,Sean Payton
Taylor Lautner,Troy Lambert
Rob Schneider,Jamie
Jackie Sandler,Beth
John Cusack,Hauser
Marisa Tomei,Natalie Hegalhuzen
Hilary Duff,Yonica Babyyeah
Joan Cusack,Marsha Dillon
Sam Worthington,Mike Souder
Jeffrey Dean Morgan,Brian Heigh
Chloë Grace Moretz,Little Ann Sliger
Jessica Chastain,Pam Stall
Emily Mortimer,Lizzie
Jack McElhone,Frankie
Gerard Butler,The Stranger
Mary Riggans,Nell
Blayne Weaver,Peter Pan
Harriet Owen,Jane/Young Wendy
Corey Burton,Captain Hook
Jeff Bennett,Smee/Pirates
Ayushmann Khurrana,Joshua/Aman
Andrea Kevichüsa,Aido
Manoj Pahwa,Abrar Bhatt
Kumud Mishra,Divakar
Zoé Héran,Laure/Mickäel
Malonn Lévana,Jeanne
Jeanne Disson,Lisa
Sophie Cattani,La mère de Laure
Sally Field,Doris
Max Greenfield,John
Tyne Daly,Roz
Wendi McLendon-Covey,Cynthia
Henry Rollins,Jack
Booboo Stewart,Jeremy
Kate Greenhouse,Cara
Jordan Todosey,Andrea
Winslow Fegley,Jake Doyle (Young
Neil Patrick Harris,Jake Doyle (Adult
Steve Zahn,John Doyle
June Diane Raphael,Kathy Doyle
John Travolta,Elmer Robinson
Salma Hayek,Martha Beck
Jared Leto,Ray Fernandez
James Gandolfini,Det. Charles Hilderbrandt
Bartosz Bielenia,Daniel
Aleksandra Konieczna,Lidia
Eliza Rycembel,Marta
Tomasz Zietek,'Pinczer'
Frank Grillo,Wheelman
Caitlin Carmichael,Katie
Garret Dillahunt,Clayton
Shea Whigham,Motherfucker
Vikram,Ramanujam Iyengar 'Ambi'/Anniyan/Remo
Sada,Nandhini Krishna
Prakash Raj,DCP Prabhakar
Vivek,Sub-Inspector Arivazhagan 'Chari'
Ranbir Kapoor,Harpreet Singh Bedi
Prem Chopra,P.S. Bedi
Mukesh S. Bhatt,Chhotelal Mishra
D. Santosh,Girish Reddy
Melvil Poupaud,Laurence Alia
Emmanuel Schwartz,Baby Rose
Suzanne Clément,Fred Bellair
Nathalie Baye,Julienne Alia
Rosamund Pike,Marie Curie
Yvette Feuer,Carla
Mirjam Novak,Nurse
Ralph Berkin,Doctor
Sienna Miller,Edie Sedgwick
Guy Pearce,Andy Warhol
Hayden Christensen,Musician
Jimmy Fallon,Chuck Wein
Rose McIver,Amber
Ben Lamb,Prince Richard
Alice Krige,Queen Helena
Honor Kneafsey,Princess Emily
Christopher Soren Kelly,John/Ink
Quinn Hunchar,Emma
Jessica Duffy,Liev
Jennifer Batter,Allel
Kerry Condon,Doireann McCann
Desmond Eastwood,Curtis June
Conor MacNeill,Conan McGrath
Seamus O'Hara,Séamus McKenna
Ahnaf,Ninja
Kôichi Yamadera,Batman
Wataru Takagi,The Joker
Ai Kakuma,Catwoman
Ethan Embry,Jesse Hellman
Shiri Appleby,Astrid Hellman
Pruitt Taylor Vince,Ray Smilie
Kiara Glasco,Zooey
Sam Claflin,Jack
Olivia Munn,Dina
Freida Pinto,Amanda
Eleanor Tomlinson,Hayley
Owen Wilson,Kyle Reynolds
Ed Helms,Peter Reynolds
Glenn Close,Helen
Robert Mello,Mr. Jensen
H. Jon Benjamin,Bob Belcher/Jimmy Jr./Bad Kuchi Kopi/Good Kuchi Kopi/Ms. Labonz/Additional Voices
Kristen Schaal,Louise Belcher
Dan Mintz,Tina Belcher
John Roberts,Linda Belcher/Jocelyn/Additional Voices
Max Hubacher,Willi Herold
Alexander Fehling,Junker
Sebastian Rudolph,Gefreiter Paul
Max Thommes,Bursche
Jorge Lendeborg Jr.,Benny
Debby Ryan,Blaire
Lucy Fry,Zoe
Raúl Castillo,Jay
Zach Cregger,Eugene Bell
Trevor Moore,Tucker Cleigh
Raquel Alessi,Cindi Whitehall
Molly Stanton,Candace
Katie Holmes,April Burns
Oliver Platt,Jim Burns
Patricia Clarkson,Joy Burns
Derek Luke,Bobby
Shah Rukh Khan,Dev Saran
Rani Mukerji,Maya Talwar
Amitabh Bachchan,Samarjit Talwar
Abhishek Bachchan,Rishi Talwar
Joely Richardson,Jo Wilder
Rainn Wilson,Larry White
Timothy Hutton,David Wilder
Chris O'Neil,Noah Wilder
Odessa Young,Lily
Abra,Em
Suki Waterhouse,Sarah
Hari Nef,Bex
Ricky Gervais,David Brent
Rob Jarvis,Client
Abbie Murphy,Serena Wilson
Mandeep Dhillon,Karen Parashar
Kay Kay Menon,DCP Rakesh Maria
Pawan Malhotra,Mushtaq 'Tiger' Memon
Aditya Srivastav,Badshah Khan/Nasir Khan
Dibyendu Bhattacharya,Yeda Yakub
Rajinikanth,Sivaji Arumugam
Shriya Saran,Tamizhselvi/Vidyabharti Ramlingam
Suman,Adisheshan
Vivek,Arivu Mama
Armie Hammer,Will
Zazie Beetz,Alicia
Karl Glusman,Jeffrey
Christin Rankins,Mary
Bill Sage,Frank Parker
Ambyr Childers,Iris Parker
Julia Garner,Rose Parker
Wyatt Russell,Deputy Anders
Taraji P. Henson,Terry
Idris Elba,Colin
Leslie Bibb,Meg
Kate del Castillo,Alexis
Jimmie Fails,Jimmie Fails
Jonathan Majors,Montgomery Allen
Rob Morgan,James Sr.
Tichina Arnold,Wanda Fails
Elliot Page,Nell
Evan Rachel Wood,Eva
Max Minghella,Eli
Callum Keith Rennie,Robert
Cate Blanchett,Veronica Guerin
Colin Farrell,Tattooed Boy
Brenda Fricker,Bernie Guerin
Ciarán Hinds,John Traynor
Greg Cipes,Beast Boy
Scott Menville,Robin
Khary Payton,Cyborg
Tara Strong,Raven
Pierfrancesco Favino,Filippo Malgradi
Elio Germano,Sebastiano
Claudio Amendola,Samurai
Alessandro Borghi,Numero 8
Aamir Khan,Firangi
Lloyd Owen,John Clive
Amitabh Bachchan,Khudabaksh
Katrina Kaif,Suraiyya
Matthias Schoenaerts,Mikhail Averin
Léa Seydoux,Tanya Averina
Peter Simonischek,Admiral Vyacheslav Grudzinsky
August Diehl,Anton Markov
Thomas Jane,Wayne Colson
Diane Lane,Carmen
Mickey Rourke,Blackbird
Brandon McGibbon,Blackbird's Kid Brother
Jayam Ravi,Mithran IPS
Arvind Swamy,Siddharth Abimanyu
Nayanthara,Mahima
Nassar,Chief Minister
Lin-Manuel Miranda,Vivo
Ynairaly Simo,Gabi
Zoe Saldana,Rosa
Juan de Marcos González,Andrés
Shohreh Aghdashloo,Zahra
Jim Caviezel,Freidoune Sahebjam
Mozhan Navabi,Soraya M.
Navid Negahban,Ali
Freida Pinto,Meera Parsons
Logan Marshall-Green,Henry Parsons
Robert John Burke,Detective Steven Morse
Megan Elisabeth Kelly,Christine Cobb
Sam Heughan,Tom Buckingham
Ruby Rose,Grace Lewis
Andy Serkis,George Clements
Hannah John-Kamen,Dr. Sophie Hart
Lou Taylor Pucci,Justin Cobb
Tilda Swinton,Audrey Cobb
Vincent D'Onofrio,Mike Cobb
Keanu Reeves,Perry Lyman
Dougray Scott,Thomas Jericho
Kate Winslet,Hester Wallace
Saffron Burrows,Claire
Jeremy Northam,Wigram
James Franco,Jake Huard
Jordana Brewster,Ali
Tyrese Gibson,Cole
Donnie Wahlberg,Lt. Burton
Ricci Harnett,Carlton Leach
Craig Fairbrass,Pat Tate
Terry Stone,Tony Tucker
Roland Manookian,Craig Rolfe
Rajkummar Rao,Jayant Arkhedkar
Huma Qureshi,Monica Machado
Sikandar Kher,Nishikant Andhikari
Bagavathi Perumal,Arvind Manivannan
Mekhi Phifer,Odin James
Julia Stiles,Desi Brable
Martin Sheen,Coach Duke Goulding
Josh Hartnett,Hugo Goulding
Awkwafina,Anne Yum
Sandra Oh,Jenny Yum
Will Ferrell,Terry McTeer
Holland Taylor,Francine
Natalie Press,Mona
Emily Blunt,Tamsin
Paddy Considine,Phil
Dean Andrews,Ricky
Sergey Dreyden,The Stranger (The Marquis de Custine
Mariya Kuznetsova,Catherine The Great
Leonid Mozgovoy,The Spy
Mikhail Piotrovsky,Self (Hermitage Director
Phil Robertson,Arthur Welles
Joana Borja,Simona
Victoria Alcock,Mary
Cristina Rodlo,Ambar
Salman Khan,Laxman
Sohail Khan,Bharat
Om Puri,Banne Chacha
Mohd. Zeeshan Ayyub,Narayan
Will Forte,Tim
Maya Rudolph,Nanny
Alessia Cara,Jane
Terry Crews,Commander Melanoff
Manu Bennett,Creed
Larenz Tate,Max
Linden Ashby,Kincaid
Yuji Okumoto,The Surgeon
Kal Penn,Nikhil a.k.a. Gogol
Irrfan Khan,Ashoke
Tabu,Ashima
Jacinda Barrett,Maxine
Shakib Khan,Sumon
Idhika Paul,Eti
Shahiduzzaman Selim,Usman
Lutfur Rahman George,Khalek Chairman
Demet Akbag,Firuzan
Ata Demirer,Huseyin Badem
Özge Borak,Müjgan
Bican Günalan,Ramiz
Daniel Doheny,Sean Floyd
Geraldine Viswanathan,Becky Abelar
Sadie Calvano,Sarah
Luke Spencer Roberts,Donnie
Alia Bhatt,Badrunissa Sheikh
Shefali Shah,Shamshunissa
Vijay Varma,Hamza Sheikh
Roshan Mathew,Zulfi
Angela Bassett,Tanya
Laurence Fishburne,Dr. Larabee
Keke Palmer,Akeelah
Curtis Armstrong,Mr. Welch
Marlon Wayans,Rob Anderson
Regina Hall,Megan
Dennis Haysbert,Reginald Swope
J.T. Jackson,Benny
Nate Parker,Nat Turner
Armie Hammer,Samuel Turner
Penelope Ann Miller,Elizabeth Turner
Jackie Earle Haley,Raymond Cobb
Priscilla Quintana,Christine
Luke Goss,Red
Paula Patton,Brea
William Fichtner,Carl Waynewright
Jean Reno,Pierre Niemans
Benoît Magimel,Reda
Christopher Lee,Heinrich von Garten
Camille Natta,Marie
Paco León,Emilio
Alexandra Jiménez,Blanca
Rossy de Palma,Ana María
Nuria Herrero,Lili
Scott Adkins,Cain Burgess
Craig Fairbrass,Lincoln Burgess
Thomas Turgoose,Tune
Nick Moran,Hyde
Tim Allen,Eliot Arnold
Rene Russo,Anna Herk
Stanley Tucci,Arthur Herk
Tom Sizemore,Snake Dupree
Max Thieriot,Bug
John Magaro,Alex
Denzel Whitaker,Jerome
Zena Grey,Penelope
Armie Hammer,Sgt. Michael Stevens
Annabelle Wallis,Jenny
Tom Cullen,Tommy Madison
Clint Dyer,Berber
François Civil,Chanteraide
Omar Sy,D'Orsi
Mathieu Kassovitz,ALFOST
Reda Kateb,Grandchamp
Martin Henderson,William Darcy
Aishwarya Rai Bachchan,Lalita Bakshi
Nadira Babbar,Manorama Bakshi
Anupam Kher,Chaman Bakshi
Patrick John Flueger,Phil Lodge
Val Kilmer,Walter
Louisa Krause,Beverly
Mattea Conforti,Rose
Javier Gutiérrez,Martín Salas
Karra Elejalde,Miguel García
Luis Callejo,Ramis
Andrés Gertrúdix,Golum
Chad Villella,Mitch
Matt Bettinelli-Olpin,Jack
Kristina Pesic,Sutter
Fabianne Therese,Sadie
Linda Hardy,Jill
Thomas Kretschmann,Nikopol
Charlotte Rampling,Elma Turner
Yann Collette,Froebe
Jim Sturgess,Cor Van Hout
Sam Worthington,Willem Holleeder
Ryan Kwanten,Jan 'Cat' Boellard
Anthony Hopkins,Freddy Heineken
Jean-Claude Van Damme,Kyle LeBlanc
Lawrence Taylor,451
Lloyd Battista,General Hruschov
Carlos Gómez,Tolik
50 Cent,Sonny
Bruce Willis,Biggs
Ryan Phillippe,Vincent Long
Rory Markham,Markus
Artur Smolyaninov,Oleg 'Lyutyy' Lyutaev
Aleksey Chadov,Vladimir 'Vorobey' Vorobyov
Konstantin Kryukov,Ruslan 'Gioconda' Petrovskiy
Ivan Kokorin,'Chugun' Chugaynov
Dominic Purcell,Jim Baxford
Erin Karpluk,Rosie Baxford
Edward Furlong,Sean
John Heard,Jeremy Stancroft
Gideon Adlon,Parker Mason
Bethlehem Million,Miri Woodlow
Dylan Sprayberry,DJ Cole
Marc Menchaca,Jason
Taapsee Pannu,Aarti
Rishi Kapoor,Murad Ali Mohammed
Ashrut Jain,Rashid
Ashutosh Rana,Santosh
Reese Mishler,Reese Houser
Pfeifer Brown,Pfeifer Ross
Ryan Shoos,Ryan Shoos
Cassidy Gifford,Cassidy Spilker
Alex Kendrick,Adam Mitchell
Ken Bevel,Nathan Hayes
Kevin Downes,Shane Fuller
Renee Jewell,Victoria Mitchell
Arshad Warsi,Jagdish Tyagi a.k.a. Jolly
Amrita Rao,Sandhya
Boman Irani,Advocate Rajpal
Saurabh Shukla,Judge Tripathy
Vidyut Jammwal,Sameer
Soham Guha Mallick,Driver
Shivaleeka Oberoi,Nargis
Annu Kapoor,Usman Ali Murad
Chiwetel Ejiofor,Lola
Joel Edgerton,Charlie
Sarah-Jane Potts,Lauren
Jemima Rooper,Nicola
Nanni Moretti,Giovanni Sermonti
Laura Morante,Paola Sermonti
Jasmine Trinca,Irene Sermonti
Giuseppe Sanfelice,Andrea Sermonti
Ryan Kwanten,Joe
Steve Zahn,Eric
Peter Dinklage,Hung
Summer Glau,Gwen
Vincent D'Onofrio,Bob
Eamon Farren,Rabbit
Evan Bird,Younger Rabbit
Julia Ormond,Sarah Fittler
Ezra Godden,Paul Marsh
Francisco Rabal,Ezequiel
Raquel Meroño,Bárbara
Macarena Gómez,Uxía Cambarro
Emma Roberts,Nancy Drew
Tate Donovan,Carson Drew
Max Thieriot,Ned Nickerson
Craig Gellis,Thug
Sahan Gökbakar,Recep Ivedik
Zeynep Çamci,Zeynep
Sevim Yatlilar,Nezahat
Oktay Dener,Dede
Josephine Langford,Tessa
Hero Fiennes Tiffin,Hardin
Louise Lombard,Trish
Chance Perdomo,Landon
Colin Firth,Max Perkins
Jude Law,Thomas Wolfe
Nicole Kidman,Aline Bernstein
Laura Linney,Louise Perkins
Elliot Page,Tallulah
Allison Janney,Margo
Tammy Blanchard,Carolyn
Evan Jonigkeit,Nico
Berant Zhu,Jim
Regina Lei,Kat
Ying-Ru Chen,Molly
Tzu-Chiang Wang,Businessman
Richard Griffiths,Hector
Frances de la Tour,Mrs. Lintott
Clive Merrison,The Headmaster
Samuel Anderson,Crowther
Will Ferrell,Armando
Gael García Bernal,Onza
Diego Luna,Raul
Nick Offerman,DEA Agent Parker
Louis Garrel,Alfred Dreyfus
Christophe Maratier,Adjudant dégradation
Pierre Poirot,Greffier Vallecalle
Stéfan Godin,Général Darras
Waad Mohammed,Wadjda
Reem Abdullah,Mother
Abdullrahman Al Gohani,Abdullah
Ahd,Ms. Hussa
Joe Swanberg,Jake Williams
AJ Bowen,Sam Turner
Kentucker Audley,Patrick
Amy Seimetz,Caroline
Adriano Tardiolo,Lazzaro
Agnese Graziani,Antonia bambina
Alba Rohrwacher,Antonia
Luca Chikovani,Tancredi giovane
John Cho,Jin
Haley Lu Richardson,Casey
Parker Posey,Eleanor
Michelle Forbes,Maria
Tatsuya Fujiwara,Shuya Nanahara
Ai Maeda,Shiori Kitano (Transfer Student
Shûgo Oshinari,Takuma Aoi
Ayana Sakai,Nao Asakura
Chloë Grace Moretz,Georgia
Algee Smith,Sam
Raúl Castillo,Arthur
Linnea Gardner,Sarah
Aaron Eckhart,Thomas Mackelway
Ben Kingsley,Benjamin O'Ryan
Carrie-Anne Moss,Fran Kulok
Harry Lennix,Rich Charleton
Jean-Claude Van Damme,Luc Deveraux
Dolph Lundgren,Andrew Scott
Scott Adkins,John
Mariah Bonner,Sarah
Cate Blanchett,Mary Mapes
Robert Redford,Dan Rather
Dennis Quaid,Lt. Col. Roger Charles
Elisabeth Moss,Lucy Scott
Anton Yelchin,Brian Bloom
Bérénice Marlohe,Arielle Pierpont
Olivia Thirlby,Jane Hastings
Lambert Wilson,Valéry Pierpont
Keanu Reeves,Henry Torne
Vera Farmiga,Julie Ivanova
James Caan,Max Saltzman
Judy Greer,Debbie Torne
Timothy Spall,Bill
Kristin Scott Thomas,Janet
Patricia Clarkson,April
Bruno Ganz,Gottfried
Alexandra Daddario,Emma Corrigan
Tyler Hoechlin,Jack Harper
Sunita Mani,Lissy
David Ebert,Connor
Jackie Chan,Huo An
John Cusack,Lucius
Adrien Brody,Tiberius
Choi Siwon,Yin Po
Maggie Smith,Jean Horton
Michael Gambon,Cedric Livingstone
Billy Connolly,Wilf Bond
Tom Courtenay,Reggie Paget
Vincent D'Onofrio,Feola
Rodrigo Santoro,Brazilian Announcer
Diego Boneta,Jose
Seu Jorge,Dondinho
Rajkummar Rao,Shardul Thakur
Bhumi Pednekar,Sumi Singh
Chum Darang,Rimjhim Jongkey
Sheeba Chaddha,Baby Thakur
Chiwetel Ejiofor,Mike Terry
Tim Allen,Chet Frank
Emily Mortimer,Laura Black
Max Martini,Joe Collins
Michael Keaton,John 'Aristotle' Knox
Ray McKinnon,Thomas Muncie
Cassie Moronez,Waitress
Paul Perri,Dr. Burns
Charlize Theron,Sylvia
John Corbett,John
José María Yazpik,Carlos
Robin Tunney,Laura
Corbin Allred,Corporal 'Deacon' Greer
Alexander Polinsky,Medic Steven Gould
Kirby Heyborne,Flight Sergeant Oberon Winley
Larry Bagby,Private Shirl Kendrick
Rosamund Pike,Marie Colvin
Alexandra Moen,Zoe
Tom Hollander,Sean Ryan
Faye Marsay,Kate Richardson
Gemma Arterton,Catrin Cole
Sam Claflin,Tom Buckley
Bill Nighy,Ambrose Hilliard/Uncle Frank
Richard E. Grant,Roger Swain
Gabe Fazio,Billy Curtis
Augie Duke,Lisa
Federico Castelluccio,Detective Mueller
Peter Greene,The Writer
Rajkummar Rao,Newton Kumar
Pankaj Tripathi,Aatma Singh
Anjali Patil,Malko Netam
Raghubir Yadav,Loknath
Jesse Bradford,Ben Cronin
Erika Christensen,Madison Bell
Shiri Appleby,Amy Miller
Kate Burton,Carla Cronin
Damian Walshe-Howling,Luke
Gyton Grantley,Matt
Adrienne Pickering,Suzie
Zoe Naylor,Kate
Marina Foïs,Olga
Denis Ménochet,Antoine
Luis Zahera,Xan
Diego Anido,Lorenzo
Bill Bailey,Hangman
Tom Wilkinson,Doctor Robert Knox
Michael Smiley,Patterson
Tim Curry,Doctor Monro
Chris Rock,Mays Gilliam
Bernie Mac,Mitch Gilliam
Lynn Whitfield,Debra Lassiter
Dylan Baker,Martin Geller
Clive Owen,John
Carice van Houten,Susanna
Izán Corchero,Juan
Ella Purnell,Mia
Ethan Hawke,Paul
John Travolta,Marshal
Taissa Farmiga,Mary-Anne
James Ransone,Gilly
Nicole Kidman,Grace
Tim Roth,Prince Rainier
André Penvern,Charles de Gaulle
Frank Langella,Francis Tucker
Jared Harris,Professor Joseph Coupland
Sam Claflin,Brian McNeil
Olivia Cooke,Jane Harper
Erin Richards,Krissi Dalton
Cem Yilmaz,Ali Senay/Boris Mancov
Çetin Altay,Ilber
Irina Ivkina,Veronica
Can Yilmaz,Ismail
Clive Owen,Chris
Marion Cotillard,Monica
Billy Crudup,Frank
Mila Kunis,Natalie
Ayushmann Khurrana,Prem Prakash Tiwari
Bhumi Pednekar,Sandhya Verma
Sanjay Mishra,Chandrabhan Tiwari
Sheeba Chaddha,Nain Tara
Benedict Cumberbatch,Louis Wain
Claire Foy,Emily Richardson-Wain
Andrea Riseborough,Caroline Wain
Toby Jones,Sir William Ingram
Miley Cyrus,Molly/Brook
Jeremy Piven,Armon
Mike O'Malley,Sam
Josh Bowman,Nicholas
Romain Duris,Xavier Rousseau
Kelly Reilly,Wendy
Audrey Tautou,Martine
Cécile de France,Isabelle
Samuel L. Jackson,Champ
Josh Hartnett,Erik Kernan Jr.
Kathryn Morris,Joyce Kernan
Dakota Goyo,Teddy Kernan
Isaach De Bankolé,Lone Man
Alex Descas,Creole
Jean-François Stévenin,French
Óscar Jaenada,Waiter
Ethan Hawke,Vin
Robert Sean Leonard,Jon
Uma Thurman,Amy
Eva Green,Miss G
Juno Temple,Di
María Valverde,Fiamma
Imogen Poots,Poppy
Peter Sarsgaard,Jay
Mireille Enos,Rebecca
Joey King,Kayla
Cas Anvar,Sam
Samantha Robinson,Elaine Parks
Jeffrey Vincent Parise,Wayne Peters
Laura Waddell,Trish
Gian Keys,Griff Meadows
Mohamed Fellag,Bachir Lazhar
Sophie Nélisse,Alice L'Écuyer
Émilien Néron,Simon
Danielle Proulx,Mme Vaillancourt
Sarah Jessica Parker,Kate Reddy
Pierce Brosnan,Jack Abelhammer
Kelsey Grammer,Clark Cooper
Greg Kinnear,Richard Reddy
Katie Holmes,Liza
Christopher Convery,Jude
Owain Yeoman,Sean
Ralph Ineson,Joseph
Rachel Weisz,Rachel
Sam Claflin,Philip
Holliday Grainger,Louise
Iain Glen,Kendall
Peter Mullan,Thomas
Gerard Butler,James
Emma King,Mary
Gary Lewis,Kenny
Lily Collins,Lauren Monroe
Simon Pegg,Morgan Warner
Connie Nielsen,Catherine Monroe
Chace Crawford,William Monroe
Bruce Willis,Steve Ford
John Goodman,Dave
Jason Momoa,Spider
Emily Robinson,Taylor
Antonio Banderas,Jeremiah Ecks
Lucy Liu,Sever
Talisa Soto,Vinn/Rayne
Gregg Henry,Robert Gant/Clark
Ryôsuke Yamada,Edward Elric
Tsubasa Honda,Winry Rockbell
Dean Fujioka,Roy Mustang
Misako Renbutsu,Riza Hawkeye
Eric Bana,Huck Cheever
Drew Barrymore,Billie Offer
Robert Duvall,L. C. Cheever
Phyllis Somerville,Pawnbroker
Soran Ebrahim,Satellite
Avaz Latif,Agrin
Hiresh Feysal Rahman,Hengov
Abdol Rahman Karim,Riga
Tim Robbins,William Geld
Samantha Morton,Maria Gonzales
Om Puri,Bahkland
Togo Igawa,Driver
Emmanuelle Seigner,Vanda
